id,created_timestamp,title,description,category_label,category_tag,company_name,salary_min,salary_max,country,state,county,city,lat,lon,search_state,search_category
5737200020,2026-05-21T23:18:14Z,Sr Analyst - Strategic Partner Integration,"Eligible Work Locations: Remote - Nationwide, United States PLEASE NOTE: This position requires permanent U.S. work authorization. Candidates requiring current or future visa sponsorship, including those on F‑1/OPT, CPT or H1B, are not eligible for this role. This role is not open for staffing partners or corp‑to‑corp candidates. Why WWT? At World Wide Technology, we work together to make a new world happen. Our important work benefits our clients and partners as much as it does our people and …",IT Jobs,it-jobs,World Wide Technology,182207.72,182207.72,US,California,San Joaquin County,Stockton,37.957384,-121.288386,CA,it-jobs
5746462098,2026-05-31T07:18:36Z,⚡ Job Opening: Electrician - Central Office Telecommunications,"Job Description Job Description ⚡ Job Opening: Electrician – Central Office Telecommunications Los Angeles, Riverside, Orange and San Diego Central Office Locations. We are looking for a skilled Electrician with experience in telecommunications central office environments to join our growing infrastructure team. This role focuses on electrical work supporting power systems, cabling, and telecom equipment in critical facilities. Key Responsibilities: Install and maintain AC/DC electrical systems…",IT Jobs,it-jobs,SCHWARTZ ELECTRIC INC,73382.7,73382.7,US,California,Los Angeles County,Los Angeles,,,CA,it-jobs
5757541321,2026-06-09T16:55:35Z,Mobility Platform Engineer,"Maximus TCS (Technology and Consulting Services) Internal Job Profile Code: TCS219, T3, Band 6 The Mobility Platform Engineer supports enterprise mobility services by providing engineering, operations, and sustainment of Mobile Device Management (MDM) and Mobile Threat Detection (MTD) platforms supporting approximately 22,000 mobile endpoints. This role ensures secure, reliable, and compliant mobile operations while supporting ongoing modernization and future mobility strategy. Job-Specific Ess…",IT Jobs,it-jobs,Maximus,106688.25,106688.25,US,California,San Francisco,Tenderloin,37.779805,-122.417362,CA,it-jobs
5576518089,2026-01-09T14:09:10Z,Chief of Staff/Business Operations - Matter Intelligence,"About Matter Intelligence Welcome to Matter, where we are not just observing our Earth; we are understanding all matter around us in ways that have never been possible before. You’ll join a team with decades of experience building advanced technologies that send data today from Earth’s orbit and the surface of Mars. We are excited about the future and the potential impact we can make together. Your contributions will be instrumental in driving our innovation to market, and we are committed to p…",IT Jobs,it-jobs,Pear VC,163907.77,163907.77,US,California,Santa Clara County,Palo Alto,37.445797,-122.157575,CA,it-jobs
5756551401,2026-06-08T16:37:25Z,Optical Systems Engineer - Optical Transmission,"Molex possesses a rich heritage in the optical industry. We provide the highest performing and field-proven optical solutions from components, modules to integrated line-cards. We provide cutting edge wavelength management and amplifier technologies. Our comprehensive optical, mechanical, electrical and software integration capabilities enable us to serve the needs of high-density, high-bandwidth, and flexible optical networks. Our team in Fremont is hiring an Optical System Engineer to join ou…",IT Jobs,it-jobs,Molex,136630.19,136630.19,US,California,Alameda County,Fremont,37.56283,-122.00044,CA,it-jobs
5745784067,2026-05-30T16:35:20Z,"RN Health Coord (bilingual, remote, temporary)","Essential Duties and Responsibilities: - Provides advanced clinical inquiry responses (verbal and written) to health-related inquiries from consumers, educators or medical/health professionals. - Provides medical subject matter expertise. - Performs advanced database searches. - Composes documents, reports, and correspondence. - Documents all incoming inquiries. - Participates in special projects as required. Minimum Requirements - High School diploma or equivalent with 2-4 years of experience.…",IT Jobs,it-jobs,Maximus,44675.86,44675.86,US,California,San Francisco,Tenderloin,37.779805,-122.417362,CA,it-jobs
5345158492,2025-08-09T03:06:18Z,☄️ Lead Software Engineer (Node.js) ☄️,"Overview We look for Senior Engineers excited about bridging the gap between materials/chemistry, data science, and computer science to help us develop a software framework for designing and discovering new advanced materials and chemicals. More about our codebase and team on our GitHub page . Work will focus on (1) building 3D and 2D design applications for nanoscale materials and chemistry, (2) organizing the data produced by the models and experimental validation, (3) establishing the infras…",IT Jobs,it-jobs,Mat3ra,120000,180000,US,California,Contra Costa County,Waldon,37.90212,-122.05572,CA,it-jobs
5760263059,2026-06-11T16:38:07Z,Senior System Administrator,"Maximus TCS (Technology and Consulting Services) Internal Job Profile Code: TCS220, T4, Band 7 Job-Specific Essential Duties and Responsibilities: - Provide senior-level administration and operational support for ServiceNow ITSM and ITOM modules, ensuring platform stability, availability, and performance across the enterprise. - Manage and maintain the Configuration Management Database (CMDB) as the authoritative source for configuration items, ensuring accurate data, reconciliation, and lifecy…",IT Jobs,it-jobs,Maximus,91020.88,91020.88,US,California,San Francisco,Tenderloin,37.779805,-122.417362,CA,it-jobs
5716560310,2026-05-01T23:33:21Z,Vendor Management Analyst I,"Worker Type Regular Job Description Summary The Vendor Management Analyst I supports the Digital Business Transformation (DBT) organization under the CIO by assisting in the coordination, administration, and tracking of vendor-related activities across a diverse portfolio of technology vendors and contracts. This is an entry-level role that provides operational and administrative support to the Senior Vendor Manager. The position focuses on executing day-to-day vendor management tasks, supporti…",IT Jobs,it-jobs,AeroVironment,70500,100275,US,California,Ventura County,Simi Valley,34.275113,-118.709541,CA,it-jobs
5753184802,2026-06-05T07:17:32Z,Tech Lead Manager / Full Stack,"Company Confidential | AI Workforce Optimization Platform Location San Francisco Bay Area, CA | Hybrid Schedule Full-Time | Hybrid (Bay Area on-site  remote flex) Compensation $220,000 – $280,000 base  5% equity  full benefits Employment Direct Hire | IC/Manager Hybrid ( 70% technical / 30% people leadership ) Write production code and own architecture at a platform that has scaled 2,400% in three years. At $220K–$280K base  5% equity , this role is for the engineer who is ready to lead without…",IT Jobs,it-jobs,PLACEM!NT by TZ Consulting,220000,280000,US,California,Santa Clara County,Palo Alto,37.443254,-122.149828,CA,it-jobs
5729028360,2026-05-14T04:54:53Z,Staff Software Engineer - Backend,"About Northwood Space: Northwood is on a mission to transform connectivity between earth and space and bring the benefits of space to the masses through innovations in space communications technologies. If you are energized by building at a high-velocity company and seeing your work deployed in locations around the globe with real impact, we want you at Northwood. Role: Northwood Space is looking for a backend focused Staff Engineer to join our Software team In this role, you will lead the deve…",IT Jobs,it-jobs,northwoodspace,161000,224000,US,California,Los Angeles County,Los Angeles,,,CA,it-jobs
5728711315,2026-05-13T22:24:54Z,"Staff Product Manager, Software","About the role Muon Space is hiring a Staff Product Manager to own two of the highest-leverage software product surfaces in the company: our commercial Data Products business (GNSS-R, MSIR, and AICore-derived offerings) and the Muon Sim platform that underpins our ability to deliver mission-optimized constellations. Reporting to the VP of Product, you will own the productization decisions — pricing architecture, packaging, SLAs, customer tiering, data delivery — that will define the unit econom…",IT Jobs,it-jobs,Muon Space,211000,254000,US,California,Santa Clara County,Mountain View,37.378535,-122.086585,CA,it-jobs
